candidate_id,name,organizer,region,source_type,url,target_url,platform,public_access,login_required,robots,terms,rendering,latest_post,upcoming_event,date_available,time_available,venue_available,fee_available,dj_available,collector_difficulty,current_dancemate_source,current_source_tier,recommended_tier,decision,reason,notes
CAND-TANGO-001,Solo Tango 화요정모 공지,Solo Tango,서울,ORGANIZER_PRIMARY,https://m.cafe.daum.net/latindance,https://m.cafe.daum.net/latindance/73b,DAUM_CAFE_MOBILE,PUBLIC,NO,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_HTML,2026-09-06,2026-09-08 Solo Tango 화요정모,YES,YES,YES,YES,YES,LOW,NO,DIRECTORY_MILTANG,ORGANIZER_PRIMARY,ADD_NOW,PUBLIC_DETAIL_WITH_COMPLETE_EVENT_FIELDS,"목록 /73b; 샘플 상세 /73b/68727. 20:00-23:30, Tango O Nada, 8,000원(22시 이후 5,000원), DJ 유진. Miltang의 Solo Tango 화요정모와 동일 정기행사 계열."
CAND-TANGO-002,TangoClass 공식 사이트,헝얏 & 화이,서울,ORGANIZER_PRIMARY,https://tangoclass.co.kr/,https://tangoclass.co.kr/feed/,WORDPRESS_RSS_API,PUBLIC,NO,PARTIAL_WP_ADMIN_ONLY,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_RSS_WP_JSON,2026-09-07,2026-09-12 원데이 클래스; 2026-09-09 가이드 쁘락띠까,YES,YES,YES,YES,NO,LOW,NO,PROMOTION_REPOST_POSSIBLE,ORGANIZER_PRIMARY,ADD_NOW,PUBLIC_RSS_AND_WORDPRESS_JSON_WITH_CURRENT_SCHEDULES,API https://tangoclass.co.kr/wp-json/wp/v2/posts?per_page=10. 홍대 Agua/OCHO/Club Pan Tango 일정과 요금이 본문에 존재. El Bulin Daum 재게시보다 공식 WordPress를 우선.
CAND-TANGO-003,EL TANGO 행사 게시판,EL TANGO,서울,OFFICIAL_VENUE,https://m.cafe.daum.net/eltangocafe,https://m.cafe.daum.net/eltangocafe/KvyY,DAUM_CAFE_MOBILE,PUBLIC,NO,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_HTML,2026-08-31,2026-11-12~2026-11-16 Seoul Tango Week,YES,NO,YES,NO,NO,LOW,NO,UNKNOWN,OFFICIAL_PRIMARY,ADD_NOW,PUBLIC_LIST_AND_DETAIL_WITH_UPCOMING_OFFICIAL_EVENT,샘플 상세 https://m.cafe.daum.net/eltangocafe/KvyY/2554. 행사 기간과 ELTANGO 장소 확인; 구체 시간·금액은 확인된 본문에서 UNKNOWN.
CAND-TANGO-004,IGNOX Tango,IGNOX,서울/경기,ORGANIZER_PRIMARY,https://ignox.co.kr/,https://ignox.co.kr/category/tango/,WORDPRESS_RSS_API,PUBLIC,NO,PARTIAL_WP_ADMIN_ONLY,COPYRIGHT_NOTICE_FACTUAL_DATA_ONLY,SSR_RSS_WP_JSON,2026-09-04,2026-11-14~2026-11-15 가을 숲 밀롱가,YES,YES,YES,YES,NO,LOW,NO,UNKNOWN,ORGANIZER_PRIMARY,ADD_NOW,PUBLIC_RSS_AND_JSON_WITH_STRUCTURED_UPCOMING_MILONGA,상세 https://ignox.co.kr/fs_22/; RSS https://ignox.co.kr/feed/; API https://ignox.co.kr/wp-json/wp/v2/posts?per_page=10. 본문 일부 날짜/계절 문구가 서로 달라 명시적 프로그램 구간 우선 파싱 필요.
CAND-TANGO-005,춘천 국제 탱고 페스티벌,KCCTF,강원 춘천,FESTIVAL_OFFICIAL,https://kcctf.org/ko,https://kcctf.org/ko,INDEPENDENT_WEB,PUBLIC,NO,ALLOW,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_NEXTJS,2026-09-06_VALIDATED,2026 춘천 국제 탱고 페스티벌,YES,YES,YES,YES,YES,MEDIUM,NO_VALIDATED_NOT_IMPLEMENTED,NONE,OFFICIAL_PRIMARY,ADD_NOW,PUBLIC_OFFICIAL_FESTIVAL_PAGE_ROBOTS_ALLOW,기존 조사 문서에서 2026-09-06 검증되었으나 source_id/collector 미등록. 중복 후보가 아니라 구현 대기 상태로 재확인.
CAND-TANGO-006,대전탱고 밀롱가 일정,대전탱고,대전,ORGANIZER_PRIMARY,https://m.cafe.daum.net/djtango,https://m.cafe.daum.net/djtango/UxYT,DAUM_CAFE_MOBILE,PARTIAL,YES_DETAIL,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_LIST_LOCKED_DETAIL,2026-09-02,2026-09-08 대전탱고 밀롱가,TITLE_ONLY,NO,NO,NO,TITLE_ONLY,PROHIBITED,NO,DIRECTORY_MILTANG,NONE,REJECT,LOGIN_REQUIRED_FOR_DETAIL,목록 제목과 게시일은 공개. 샘플 /UxYT/932 및 월간 일정 /UxYT/929 상세는 준회원 등급 필요; 우회하지 않음.
CAND-TANGO-007,부산탱고 이데알 화요 탱고 파이어,부산탱고,부산,ORGANIZER_PRIMARY,https://m.cafe.daum.net/busantango,https://m.cafe.daum.net/busantango/DDe7,DAUM_CAFE_MOBILE,PARTIAL,YES_DETAIL,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_LIST_LOCKED_DETAIL,2026-08-06_HOME,2026-09-08 BUSAN TANGO FIRE_DIRECTORY_ONLY,NO_DIRECT,NO_DIRECT,NO_DIRECT,NO,NO,PROHIBITED,NO,DIRECTORY_MILTANG,NONE,REJECT,LOGIN_REQUIRED_FOR_CURRENT_DETAIL,"공식 화요 게시판은 확인했으나 현재 상세는 회원 등급 필요. Miltang에만 20:30-23:30, 이데알, SARAH&WOOD가 노출됨."
CAND-TANGO-008,Milonga Sueño Dulce,Dulce in Seoul,서울,ORGANIZER_PRIMARY,https://www.facebook.com/dulceinseoul,https://www.facebook.com/dulceinseoul,FACEBOOK_PAGE,PUBLIC_VIEW_PARTIAL,NO_FOR_SHELL,BLOCKED_AUTOMATED_COLLECTION,AUTOMATED_COLLECTION_REQUIRES_PERMISSION,JS_HEAVY_IMAGE_HEAVY,2026-09-05_APPROX,Sunday Sueño Dulce; exact TANGO FIRE not verified,PARTIAL,NO,YES,NO,NO,PROHIBITED,NO,DIRECTORY_MILTANG,OFFICIAL_REFERENCE_ONLY,REFERENCE_ONLY,FACEBOOK_ROBOTS_AND_TERMS_PROHIBIT_UNAUTHORIZED_AUTOMATION,Miltang의 TANGO FIRE 공식 링크. La Ventana 주소는 확인되나 exact 9/8 행사 필드는 공개 DOM에서 확인되지 않음.
CAND-TANGO-009,Studio La Ventana 구 Daum Cafe,La Ventana,서울,OFFICIAL_VENUE,https://m.cafe.daum.net/studiolaventana,https://m.cafe.daum.net/studiolaventana,DAUM_CAFE_MOBILE,PUBLIC,NO,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_HTML,2013,NONE,NO,NO,YES,NO,NO,LOW,NO,NONE,NONE,REJECT,NO_RECENT_EVENTS_CAFE_CLOSED,공식 흔적이나 현재 운영 소스로 사용할 수 없음.
CAND-TANGO-010,Tango O Nada 공식 페이지,Tango O Nada,서울,OFFICIAL_VENUE,https://www.facebook.com/tangoonada,https://www.facebook.com/tangoonada,FACEBOOK_PAGE,PUBLIC_VIEW_PARTIAL,NO_FOR_SHELL,BLOCKED_AUTOMATED_COLLECTION,AUTOMATED_COLLECTION_REQUIRES_PERMISSION,JS_HEAVY_IMAGE_HEAVY,2026-08-31,2026-09 monthly schedule image,IMAGE_ONLY,IMAGE_ONLY,YES,IMAGE_ONLY,IMAGE_ONLY,PROHIBITED,YES_SRC-F-002_ACCESS_LIMITED,PRIMARY_ORGANIZER_ACCESS_LIMITED,OFFICIAL_REFERENCE_ONLY,REFERENCE_ONLY,FACEBOOK_ROBOTS_AND_TERMS_PROHIBIT_UNAUTHORIZED_AUTOMATION,sources.json은 ACTIVE/ACCESS_LIMITED이나 URL 필드가 비어 있음. 공개 화면은 9월 포스터 중심; 수집 대상은 Solo Tango 공개 Daum 상세를 우선.
