gt_id,event_date,event_name,venue,start_time,end_time,fee,actual_status,evidence_url,notes
GT-20260817-01,2026-08-17,더 피스타 밀롱가,PISTA,20:00,24:00,13000,HELD,https://gt.local/GT-20260817-01,
GT-20260817-02,2026-08-17,라 벤따나 밀롱가,La Ventana,20:30,24:00,15000,HELD,https://gt.local/GT-20260817-02,
GT-20260818-01,2026-08-18,더 피스타 밀롱가,PISTA,20:00,24:00,13000,HELD,https://gt.local/GT-20260818-01,
GT-20260818-02,2026-08-18,라 벤따나 밀롱가,La Ventana,20:30,24:00,15000,HELD,https://gt.local/GT-20260818-02,
GT-20260819-01,2026-08-19,더 피스타 밀롱가,PISTA,20:00,24:00,13000,HELD,https://gt.local/GT-20260819-01,
GT-20260819-02,2026-08-19,라 벤따나 밀롱가,La Ventana,20:30,24:00,15000,HELD,https://gt.local/GT-20260819-02,
GT-20260820-01,2026-08-20,더 피스타 밀롱가,PISTA,20:00,24:00,13000,HELD,https://gt.local/GT-20260820-01,
GT-20260820-02,2026-08-20,라 벤따나 밀롱가,La Ventana,20:30,24:00,15000,HELD,https://gt.local/GT-20260820-02,
GT-20260821-01,2026-08-21,더 피스타 밀롱가,PISTA,20:00,24:00,13000,HELD,https://gt.local/GT-20260821-01,
GT-20260821-02,2026-08-21,라 벤따나 밀롱가,La Ventana,20:30,24:00,15000,HELD,https://gt.local/GT-20260821-02,
GT-20260822-01,2026-08-22,더 피스타 밀롱가,PISTA,20:00,24:00,13000,HELD,https://gt.local/GT-20260822-01,
GT-20260822-02,2026-08-22,라 벤따나 밀롱가,La Ventana,20:30,24:00,15000,HELD,https://gt.local/GT-20260822-02,
GT-20260823-01,2026-08-23,더 피스타 밀롱가,PISTA,20:00,24:00,13000,HELD,https://gt.local/GT-20260823-01,
GT-20260823-02,2026-08-23,라 벤따나 밀롱가,La Ventana,20:30,24:00,15000,HELD,https://gt.local/GT-20260823-02,
GT-20260824-01,2026-08-24,더 피스타 밀롱가,PISTA,20:00,24:00,13000,HELD,https://gt.local/GT-20260824-01,
GT-20260824-02,2026-08-24,라 벤따나 밀롱가,La Ventana,20:30,24:00,15000,HELD,https://gt.local/GT-20260824-02,
GT-20260825-01,2026-08-25,더 피스타 밀롱가,PISTA,20:00,24:00,13000,HELD,https://gt.local/GT-20260825-01,
GT-20260825-02,2026-08-25,라 벤따나 밀롱가,La Ventana,20:30,24:00,15000,HELD,https://gt.local/GT-20260825-02,
GT-20260826-01,2026-08-26,더 피스타 밀롱가,PISTA,20:00,24:00,13000,HELD,https://gt.local/GT-20260826-01,
GT-20260826-02,2026-08-26,라 벤따나 밀롱가,La Ventana,20:30,24:00,15000,CANCELLED,https://gt.local/GT-20260826-02,
GT-20260827-01,2026-08-27,더 피스타 밀롱가,PISTA,20:00,24:00,13000,HELD,https://gt.local/GT-20260827-01,
GT-20260827-02,2026-08-27,라 벤따나 밀롱가,La Ventana,20:30,24:00,15000,HELD,https://gt.local/GT-20260827-02,
GT-20260828-01,2026-08-28,더 피스타 밀롱가,PISTA,20:00,24:00,13000,HELD,https://gt.local/GT-20260828-01,
GT-20260828-02,2026-08-28,라 벤따나 밀롱가,La Ventana,20:30,24:00,15000,HELD,https://gt.local/GT-20260828-02,
GT-20260829-01,2026-08-29,더 피스타 밀롱가,PISTA,20:00,24:00,13000,HELD,https://gt.local/GT-20260829-01,
GT-20260829-02,2026-08-29,라 벤따나 밀롱가,La Ventana,20:30,24:00,15000,HELD,https://gt.local/GT-20260829-02,
GT-20260830-01,2026-08-30,더 피스타 밀롱가,PISTA,20:00,24:00,13000,HELD,https://gt.local/GT-20260830-01,
GT-20260830-02,2026-08-30,라 벤따나 밀롱가,La Ventana,20:30,24:00,15000,HELD,https://gt.local/GT-20260830-02,
